https://www.gunviolencearchive.org/,,,,,,
Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
29-Jun-16,Nevada,Las Vegas,6100 block of West Lake Mead Boulevard,5,0,N/A
29-Jun-16,Georgia,Columbus,215 4th St.,0,1,N/A
29-Jun-16,New York,Buffalo,Humason Avenue,0,2,N/A
29-Jun-16,Idaho,Nampa,5875 E Franklin Rd,0,1,N/A
28-Jun-16,Texas,Aransas Pass,1700 block of West Highland Avenue,3,0,N/A
28-Jun-16,Illinois,Chicago,6400 block of South King Drive,0,2,N/A
26-Jun-16,Texas,Houston,6000 block of Elm Street,1,3,N/A
26-Jun-16,North Carolina,Henderson,N/A,0,2,N/A
25-Jun-16,Ohio,Cleveland,3578 W 120th Street,0,1,N/A
25-Jun-16,New Jersey,East Orange,112 Norman Street,1,0,N/A
24-Jun-16,Arizona,Williams,233 North Grand Canyon Boulevard,0,1,N/A
23-Jun-16,Pennsylvania,Philadelphia,1800 block of N 20th Street,1,0,N/A
21-Jun-16,Florida,Altamonte Springs,Terrace Lane,0,3,N/A
21-Jun-16,California,Fresno,South First Street and East Platt Avenue,1,2,N/A
20-Jun-16,Colorado,Conejos (county),N/A,1,0,N/A
20-Jun-16,Missouri,Kansas City,East 8th Street and The Paseo,1,0,N/A
19-Jun-16,Missouri,Kansas City,35th Street and Norton Avenue,0,1,N/A
19-Jun-16,Arkansas,Cotton Plant,N/A,0,1,N/A
19-Jun-16,Illinois,Chicago,6100 block of South Kimbark Avenue,0,1,N/A
18-Jun-16,Missouri,Saint Louis,E Grand Ave and Blair Ave,0,1,N/A
17-Jun-16,Iowa,Elgin,210 Main Street,1,0,N/A
17-Jun-16,Arkansas,Texarkana,6000 block of Summerwood Lane,0,1,N/A
15-Jun-16,Mississippi,Meridian,45th Ave. and 3rd Street,0,1,N/A
14-Jun-16,Missouri,Saint Louis,N Kingshighway Blvd and Lillian Ave,0,1,N/A
14-Jun-16,California,Manteca,300 block of Lincoln Court,0,1,N/A
13-Jun-16,Illinois,Peoria,1400 block of South Arago Street,0,1,N/A
12-Jun-16,Pennsylvania,Littlestown,first block of James Avenue,2,1,N/A
11-Jun-16,New Mexico,Roswell,2300 block of Davis Ave,5,0,N/A
10-Jun-16,California,Los Angeles (Boyle Heights),Chicago Street and Rogers Avenue,0,1,N/A
10-Jun-16,Illinois,Chicago,6700 block of South Artesian,0,2,N/A
9-Jun-16,Tennessee,Memphis,500 block of Jacklyn Avenue,0,1,N/A
9-Jun-16,Massachusetts,Springfield,Belmont Ave and Euclid Ave,0,2,N/A
8-Jun-16,Georgia,Augusta,3600 block of Old McDuffie Road,0,1,N/A
7-Jun-16,Tennessee,Lawrenceburg,N/A,0,1,N/A
7-Jun-16,Pennsylvania,Chester,400 block of Whittington Place,0,1,N/A
7-Jun-16,Illinois,North Chicago,13th Street and Victoria Avenue,0,2,N/A
7-Jun-16,Kansas,Wichita,700 block of S Fountain,0,1,N/A
7-Jun-16,Michigan,Redford,Winston Street,0,1,N/A
7-Jun-16,Michigan,Redford Twp (Redford Charter Township),15000 block of Winston,0,1,N/A
7-Jun-16,Oregon,Glide,Idleyld Park,0,1,N/A
6-Jun-16,Arkansas,Little Rock,6900 Cantrell Road,1,2,N/A
6-Jun-16,Illinois,Chicago,2100 block of North Bingham Street,0,1,N/A
5-Jun-16,Florida,Cape Coral,2600 block of Skyline Boulevard S,3,3,N/A
5-Jun-16,Missouri,Florissant,4200 block of Cloverfield Trail,0,1,N/A
4-Jun-16,Alabama,Eufaula,600 block of Stevens St,1,3,N/A
4-Jun-16,Illinois,Chicago,900 block of West 96th Street,1,0,N/A
3-Jun-16,Ohio,Hillsboro,Trenton Street,2,0,N/A
3-Jun-16,Colorado,Aurora,1575 Galena Street,1,0,N/A
1-Jun-16,Texas,San Antonio,800 block of Pecan Valley Drive,1,1,N/A
1-Jun-16,Texas,San Antonio,5500 block of San Fernando Street,1,1,N/A
29-May-16,Ohio,Sandusky,219 Center Street,0,1,N/A
28-May-16,Texas,Lubbock,300 block of Waco,0,2,N/A
27-May-16,Ohio,Cleveland,1700 block of North Taylor Road,0,2,N/A
27-May-16,New York,Wallkill,559 Fifth Avenue,3,0,N/A
27-May-16,Alabama,Huntsville,3300 block of Lockwood Ct,1,0,N/A
27-May-16,Indiana,Indianapolis (Cumberland),500 block of Wickerwood Drive,1,0,N/A
26-May-16,Virginia,Roanoke,2000 block of Carroll Avenue NW,1,0,N/A
26-May-16,Georgia,Atlanta,500 Park Valley Dr NW,0,2,N/A
25-May-16,Michigan,Detroit,16400 block of Fairmount,1,0,N/A
25-May-16,Texas,Wichita Falls,N/A,1,0,N/A
24-May-16,Missouri,Saint Louis,Hall St and Riverview Dr,1,0,N/A
23-May-16,North Carolina,Shelby,Toms Street,0,1,N/A
22-May-16,Alabama,Birmingham,Five Mile Road,0,2,N/A
21-May-16,Colorado,Denver,1800 block of West Mississippi Avenue,0,1,N/A
21-May-16,Louisiana,La Place (Laplace),19 Country Club Dr,1,0,N/A
20-May-16,Illinois,Barry,186 E 2700th St,1,0,N/A
20-May-16,Alabama,Horton,Welcome Home Church Road,1,0,N/A
18-May-16,Texas,Houston,9560 Deering Drive,0,3,N/A
17-May-16,Texas,Bellevue,4700 block of Buffalo Springs Road,1,0,N/A
17-May-16,South Carolina,Ravenel,5360 Savannah Highway,3,1,N/A
17-May-16,Texas,Beaumont,Pipkin Street,0,1,N/A
15-May-16,Tennessee,Memphis,1400 block of Dewees Drive,0,1,N/A
14-May-16,District of Columbia,Washington,2525 12th Pl SE,0,1,N/A
14-May-16,Louisiana,Baton Rouge,4000 block of Denham Street,0,1,N/A
14-May-16,Florida,Avon Park,Fred Connor Street,0,2,N/A
13-May-16,Ohio,Cleveland,7900 block of Golden Avenue,0,1,N/A
12-May-16,Ohio,Hilliard,5100 block of Scioto Darby Road,1,0,N/A
12-May-16,North Carolina,Asheville,Ira Jones School Road and Otarri Road,1,1,N/A
11-May-16,South Carolina,Columbia,4300 block of Mellowood Dr,0,1,N/A
11-May-16,Alabama,Birmingham,1400 block of 21st St N,1,4,N/A
11-May-16,Ohio,Columbus,East 13th Avenue,0,1,N/A
10-May-16,Michigan,Detroit,19700 block of Oakfield Street,1,0,N/A
10-May-16,Georgia,Decatur,3841 Kensington Road,0,3,N/A
8-May-16,Michigan,Detroit,17600 block of Faust,0,1,N/A
7-May-16,Tennessee,Smyrna,4000 block of Snowbird Drive,0,1,N/A
6-May-16,North Carolina,Lillington,Cherry Hill Drive,3,0,N/A
6-May-16,Hawaii,Pahoa,Moku St,3,0,N/A
5-May-16,Wisconsin,Milwaukee,North 15th Street and West Meinecke Avenue,1,0,N/A
5-May-16,Minnesota,Minneapolis,1600 block of Plymouth Avenue,0,1,N/A
5-May-16,Nevada,North Las Vegas,3901 North Martin Luther King  Boulevard,2,2,N/A
4-May-16,Alabama,Mount Vernon,2300 block of Red Fox Road,0,2,N/A
3-May-16,Florida,Orlando,1300 block of 22nd Street,0,1,N/A
2-May-16,Missouri,Saint Louis,Calvary Ave and N Broadway,0,1,N/A
1-May-16,Indiana,Indianapolis,Gale and Vermont,1,0,N/A
29-Apr-16,Georgia,Augusta,3904  Wrightsboro Road,0,1,N/A
29-Apr-16,Missouri,Saint Louis (Ferguson),400 block of N Dade Ave,0,4,N/A
29-Apr-16,Georgia,Savannah,12000 block of Middleground Road,0,1,N/A
29-Apr-16,Tennessee,Lebanon,300 block of Dandelion Drive,0,1,N/A
28-Apr-16,New Mexico,Rio Rancho,21st Street,0,1,N/A
27-Apr-16,Nebraska,Omaha,7441 N. 34th Street,0,1,N/A
27-Apr-16,Wisconsin,Wisconsin Rapids,440 11th Street South,3,0,N/A
27-Apr-16,Missouri,Villa Ridge,200 block of Maple Lake Court,1,0,N/A
27-Apr-16,Michigan,Gladwin,N/A,0,1,N/A
27-Apr-16,Arizona,Tucson,Campbell Ave. and Bilby Road,0,1,N/A
26-Apr-16,Georgia,Dallas,Camp Circle and Dallas Acworth Highway,1,0,N/A
25-Apr-16,Georgia,Saint Marys,100 Mary Powell Dr R155,1,1,N/A
25-Apr-16,Georgia,Locust Grove,3300 block of Bill Gardner Parkway,3,0,N/A
23-Apr-16,Missouri,Kansas City,51st Street and Walrond Avenue,0,1,N/A
23-Apr-16,Michigan,Detroit,18300 block of Monica,1,1,N/A
22-Apr-16,Louisiana,Natchitoches,600 block of Sabine Alley,1,0,N/A
21-Apr-16,Missouri,Kansas City,2600 block of Lawn Avenue,1,0,N/A
21-Apr-16,Missouri,Lowry City,E. 7th Street,2,0,N/A
20-Apr-16,Nevada,Las Vegas,Spring Mountain Road and Decatur Boulevard,0,1,N/A
20-Apr-16,Indiana,Indianapolis,5200 block of Alameda Road,1,0,N/A
20-Apr-16,Illinois,Chicago,1500 block of South Trumbull,0,1,N/A
19-Apr-16,Texas,Katy,1318 Longdraw Drive,4,0,N/A
18-Apr-16,Wisconsin,Milwaukee,300 block of North Richards Street,0,2,N/A
18-Apr-16,Florida,Deltona,Interstate 4,3,0,N/A
17-Apr-16,Tennessee,Memphis,McLemore Avenue and Third Street,0,1,N/A
17-Apr-16,Michigan,Flint,1900 block of Greenbrook Lane,0,2,N/A
17-Apr-16,North Carolina,Lewiston Woodville (Lewiston),N/A,0,1,N/A
17-Apr-16,California,Lodi,400 block of North Church Street,0,1,N/A
16-Apr-16,Missouri,Saint Louis,5400 block of Oriole Ave,0,1,N/A
16-Apr-16,Michigan,Detroit,Winthrop Street,1,0,N/A
16-Apr-16,Pennsylvania,Philadelphia,200 block of E. Mayfield Street,1,0,N/A
15-Apr-16,Illinois,Chicago,5400 block of West LeMoyne Avenue,0,1,N/A
14-Apr-16,Mississippi,Meridian,351 60th Avenue,0,2,N/A
13-Apr-16,Mississippi,Jackson,1850 Chadwick Dr,0,1,N/A
10-Apr-16,Mississippi,Pontotoc (county),Walder Road,0,1,N/A
9-Apr-16,Ohio,Youngstown,355 East Boston Avenue,0,1,N/A
9-Apr-16,Texas,San Antonio,100 block of Pima,0,1,N/A
8-Apr-16,District of Columbia,Washington,2400 block of Hartford Street SE,0,1,N/A
7-Apr-16,Pennsylvania,Philadelphia,1500 block of South 32nd Street,0,1,N/A
7-Apr-16,Michigan,Detroit,3900 block of West Vernor Highway,0,1,N/A
6-Apr-16,District of Columbia,Washington,5800 block of Foote Street NE,0,1,N/A
5-Apr-16,Maryland,Edgewater,N/A,0,1,N/A
4-Apr-16,North Carolina,Rutherfordton,Hope Drive,0,1,N/A
3-Apr-16,Florida,Lehigh Acres,4204 25th St SW,0,1,N/A
2-Apr-16,Alabama,Birmingham (Ensley),Warrior Road,0,2,N/A
2-Apr-16,Texas,Tyler,3200 block of Chandler Hwy,0,2,N/A
1-Apr-16,Tennessee,Memphis,Wooddale Avenue and Boxdale Street,0,1,N/A
28-Mar-16,Illinois,Chicago,7600 block of South St. Lawrence Avenue,0,1,N/A
27-Mar-16,Michigan,Detroit,16800 block of Riverview St,1,2,N/A
27-Mar-16,New York,Syracuse,300 block of Tioga Street,1,1,N/A
